Sorting Method,Ascending: 1,Descending: 2,Constant: 3,Random: 4,Sequence,Time
,,,,,,
Tim,1,1,0,2,124,0.000362
Quad,1,1,0,2,124,0.000198
Tim,1,1,0,2,142,0.000379
Quad,1,1,0,2,142,0.000194
Tim,1,1,0,2,214,0.000365
Quad,1,1,0,2,214,0.000193
Tim,1,1,0,2,241,0.000373
Quad,1,1,0,2,241,0.000200
Tim,1,1,0,2,412,0.000365
Quad,1,1,0,2,412,0.000194
Tim,1,1,0,2,421,0.000372
Quad,1,1,0,2,421,0.000195
,,,,,,
,,,,,,
Tim,1,1,1,1,1234,0.000213
Quad,1,1,1,1,1234,0.000144
Tim,1,1,1,1,1324,0.000214
Quad,1,1,1,1,1324,0.000142
Tim,1,1,1,1,1342,0.000223
Quad,1,1,1,1,1342,0.000143
Tim,1,1,1,1,1423,0.000221
Quad,1,1,1,1,1423,0.000134
Tim,1,1,1,1,1432,0.000227
Quad,1,1,1,1,1432,0.000142
Tim,1,1,1,1,2134,0.000201
Quad,1,1,1,1,2134,0.000130
Tim,1,1,1,1,2143,0.000202
Quad,1,1,1,1,2143,0.000129
Tim,1,1,1,1,2314,0.000206
Quad,1,1,1,1,2314,0.000143
Tim,1,1,1,1,2341,0.000211
Quad,1,1,1,1,2341,0.000135
Tim,1,1,1,1,2413,0.000209
Quad,1,1,1,1,2413,0.000137
Tim,1,1,1,1,2431,0.000220
Quad,1,1,1,1,2431,0.000138
Tim,1,1,1,1,3124,0.000220
Quad,1,1,1,1,3124,0.000152
Tim,1,1,1,1,3142,0.000209
Quad,1,1,1,1,3142,0.000156
Tim,1,1,1,1,3214,0.000213
Quad,1,1,1,1,3214,0.000152
Tim,1,1,1,1,3241,0.000222
Quad,1,1,1,1,3241,0.000144
Tim,1,1,1,1,3412,0.000219
Quad,1,1,1,1,3412,0.000146
Tim,1,1,1,1,3421,0.000209
Quad,1,1,1,1,3421,0.000138
Tim,1,1,1,1,4123,0.000202
Quad,1,1,1,1,4123,0.000138
Tim,1,1,1,1,4132,0.000216
Quad,1,1,1,1,4132,0.000145
Tim,1,1,1,1,4213,0.000236
Quad,1,1,1,1,4213,0.000136
Tim,1,1,1,1,4231,0.000230
Quad,1,1,1,1,4231,0.000139
Tim,1,1,1,1,4312,0.000248
Quad,1,1,1,1,4312,0.000150
Tim,1,1,1,1,4321,0.000245
Quad,1,1,1,1,4321,0.000136
