Sorting Method,Ascending: 1,Descending: 2,Constant: 4,Random: 8,Sequence,Time
Tim, 1/4,0, 1/4, 2/4,841,
Quad, 1/4,0, 1/4, 2/4,841,
,,,,,,
,,,,,,
Tim, 1/4, 1/4,0, 2/4,128,
Quad, 1/4, 1/4,0, 2/4,128,
Tim, 1/4, 1/4,0, 2/4,182,
Quad, 1/4, 1/4,0, 2/4,182,
Tim, 1/4, 1/4,0, 2/4,218,
Quad, 1/4, 1/4,0, 2/4,218,
Tim, 1/4, 1/4,0, 2/4,281,
Quad, 1/4, 1/4,0, 2/4,281,
Tim, 1/4, 1/4,0, 2/4,812,
Quad, 1/4, 1/4,0, 2/4,812,
Tim, 1/4, 1/4,0, 2/4,821,
Quad, 1/4, 1/4,0, 2/4,821,
,,,,,,
,,,,,,
Tim, 1/4, 1/4, 1/4, 1/4,1248,
Quad, 1/4, 1/4, 1/4, 1/4,1248,
Tim, 1/4, 1/4, 1/4, 1/4,1428,
Quad, 1/4, 1/4, 1/4, 1/4,1428,
Tim, 1/4, 1/4, 1/4, 1/4,1482,
Quad, 1/4, 1/4, 1/4, 1/4,1482,
Tim, 1/4, 1/4, 1/4, 1/4,1824,
Quad, 1/4, 1/4, 1/4, 1/4,1824,
Tim, 1/4, 1/4, 1/4, 1/4,1842,
Quad, 1/4, 1/4, 1/4, 1/4,1842,
Tim, 1/4, 1/4, 1/4, 1/4,2148,
Quad, 1/4, 1/4, 1/4, 1/4,2148,
Tim, 1/4, 1/4, 1/4, 1/4,2184,
Quad, 1/4, 1/4, 1/4, 1/4,2184,
Tim, 1/4, 1/4, 1/4, 1/4,2418,
Quad, 1/4, 1/4, 1/4, 1/4,2418,
Tim, 1/4, 1/4, 1/4, 1/4,2481,
Quad, 1/4, 1/4, 1/4, 1/4,2481,
Tim, 1/4, 1/4, 1/4, 1/4,2814,
Quad, 1/4, 1/4, 1/4, 1/4,2814,
Tim, 1/4, 1/4, 1/4, 1/4,2841,
Quad, 1/4, 1/4, 1/4, 1/4,2841,
Tim, 1/4, 1/4, 1/4, 1/4,4128,
Quad, 1/4, 1/4, 1/4, 1/4,4128,
Tim, 1/4, 1/4, 1/4, 1/4,4182,
Quad, 1/4, 1/4, 1/4, 1/4,4182,
Tim, 1/4, 1/4, 1/4, 1/4,4218,
Quad, 1/4, 1/4, 1/4, 1/4,4218,
Tim, 1/4, 1/4, 1/4, 1/4,4281,
Quad, 1/4, 1/4, 1/4, 1/4,4281,
Tim, 1/4, 1/4, 1/4, 1/4,4812,
Quad, 1/4, 1/4, 1/4, 1/4,4812,
Tim, 1/4, 1/4, 1/4, 1/4,4821,
Quad, 1/4, 1/4, 1/4, 1/4,4821,
Tim, 1/4, 1/4, 1/4, 1/4,8124,
Quad, 1/4, 1/4, 1/4, 1/4,8124,
Tim, 1/4, 1/4, 1/4, 1/4,8142,
Quad, 1/4, 1/4, 1/4, 1/4,8142,
Tim, 1/4, 1/4, 1/4, 1/4,8214,
Quad, 1/4, 1/4, 1/4, 1/4,8214,
Tim, 1/4, 1/4, 1/4, 1/4,8241,
Quad, 1/4, 1/4, 1/4, 1/4,8241,
Tim, 1/4, 1/4, 1/4, 1/4,8412,
Quad, 1/4, 1/4, 1/4, 1/4,8412,
Tim, 1/4, 1/4, 1/4, 1/4,8421,
Quad, 1/4, 1/4, 1/4, 1/4,8421,
