Tim,DACR,0.000485,
Cape,DARA,0.000305,
Quad,DARA,0.000286,
Quick,DARA,0.000508,
Tim,DARA,0.000466,
Cape,DARD,0.000370,
Quad,DARD,0.000351,
Quick,DARD,0.000558,
Tim,DARD,0.000543,
Cape,DARC,0.000302,
Quad,DARC,0.000283,
Quick,DARC,0.000509,
Tim,DARC,0.000422,
Cape,DARR,0.000441,
Quad,DARR,0.000421,
Quick,DARR,0.000593,
Tim,DARR,0.000761,
Cape,DDAA,0.000201,
Quad,DDAA,0.000187,
Quick,DDAA,0.000443,
Tim,DDAA,0.000129,
Cape,DDAD,0.000248,
Quad,DDAD,0.000233,
Quick,DDAD,0.000468,
Tim,DDAD,0.000191,
Cape,DDAC,0.000185,
Quad,DDAC,0.000170,
Quick,DDAC,0.000424,
Tim,DDAC,0.000116,
Cape,DDAR,0.000372,
Quad,DDAR,0.000348,
Quick,DDAR,0.000571,
Tim,DDAR,0.000510,
Cape,DDDA,0.000242,
Quad,DDDA,0.000224,
Quick,DDDA,0.000507,
Tim,DDDA,0.000146,
Cape,DDDD,0.000243,
Quad,DDDD,0.000225,
Quick,DDDD,0.000476,
Tim,DDDD,0.000136,
Cape,DDDC,0.000208,
Quad,DDDC,0.000190,
Quick,DDDC,0.000453,
Tim,DDDC,0.000122,
Cape,DDDR,0.000363,
Quad,DDDR,0.000349,
Quick,DDDR,0.000546,
Tim,DDDR,0.000496,
Cape,DDCA,0.000195,
Quad,DDCA,0.000180,
Quick,DDCA,0.000449,
Tim,DDCA,0.000122,
Cape,DDCD,0.000191,
Quad,DDCD,0.000177,
Quick,DDCD,0.000403,
Tim,DDCD,0.000145,
Cape,DDCC,0.000159,
Quad,DDCC,0.000146,
Quick,DDCC,0.000391,
Tim,DDCC,0.000100,
Cape,DDCR,0.000311,
Quad,DDCR,0.000293,
Quick,DDCR,0.000493,
Tim,DDCR,0.000455,
Cape,DDRA,0.000340,
Quad,DDRA,0.000322,
Quick,DDRA,0.000529,
Tim,DDRA,0.000454,
Cape,DDRD,0.000405,
Quad,DDRD,0.000383,
Quick,DDRD,0.000574,
Tim,DDRD,0.000534,
Cape,DDRC,0.000353,
Quad,DDRC,0.000329,
Quick,DDRC,0.000565,
Tim,DDRC,0.000487,
Cape,DDRR,0.000492,
Quad,DDRR,0.000469,
Quick,DDRR,0.000638,
Tim,DDRR,0.000820,
Cape,DCAA,0.000168,
Quad,DCAA,0.000152,
Quick,DCAA,0.000455,
Tim,DCAA,0.000111,
Cape,DCAD,0.000248,
Quad,DCAD,0.000229,
Quick,DCAD,0.000521,
Tim,DCAD,0.000208,
Cape,DCAC,0.000165,
Quad,DCAC,0.000150,
Quick,DCAC,0.000442,
Tim,DCAC,0.000111,
Cape,DCAR,0.000310,
Quad,DCAR,0.000290,
Quick,DCAR,0.000518,
Tim,DCAR,0.000457,
Cape,DCDA,0.000175,
Quad,DCDA,0.000158,
Quick,DCDA,0.000417,
Tim,DCDA,0.000186,
Cape,DCDD,0.000188,
Quad,DCDD,0.000175,
Quick,DCDD,0.000411,
Tim,DCDD,0.000224,
Cape,DCDC,0.000155,
Quad,DCDC,0.000140,
Quick,DCDC,0.000393,
Tim,DCDC,0.000173,
Cape,DCDR,0.000320,
Quad,DCDR,0.000298,
Quick,DCDR,0.000523,
Tim,DCDR,0.000550,
Cape,DCCA,0.000166,
Quad,DCCA,0.000148,
