Sorts,Sequence,Time,
Cape - Quad,RDDA,0.004302,[118 119 118 120 118],[-29421 -29422 -29423 -29425 -29427],[-68768 -68770 -68771 -68773 -68774],[-88389 -88387 -88385 -88384 -88383],
Quad,RDDA,0.004238,
Quick,RDDA,0.007334,
Tim,RDDA,0.008198,
Cape - Quad,RDDD,0.004442,[-37 -36 -37 -35 -36],[-29572 -29573 -29575 -29577 -29578],[-68951 -68952 -68953 -68955 -68956],[-108327 -108329 -108330 -108332 -108334],
Quad,RDDD,0.004379,
Quick,RDDD,0.007305,
Tim,RDDD,0.009882,
Cape - Quad,RDDC,0.004038,[125 127 125 126 124],[-29352 -29353 -29354 -29356 -29357],[-68671 -68672 -68673 -68675 -68676],[-98194 -98194 -98194 -98194 -98194],
Quad,RDDC,0.003976,
Quick,RDDC,0.006996,
Tim,RDDC,0.008096,
Cape - Quad,RDDR,0.005670,[-147 -145 -146 -144 -145],[-29612 -29613 -29615 -29616 -29617],[-68985 -68987 -68988 -68990 -68992],[-98502 -98500 -98502 -98500 -98501],
Quad,RDDR,0.005605,
Quick,RDDR,0.008079,
Tim,RDDR,0.011935,
Cape - Quad,RDCA,0.003801,[100 102 100 101 100],[-29411 -29413 -29414 -29416 -29418],[-49031 -49031 -49031 -49031 -49031],[-39140 -39139 -39137 -39135 -39134],
Quad,RDCA,0.003738,
Quick,RDCA,0.007119,
Tim,RDCA,0.006541,
Cape - Quad,RDCD,0.004156,[104 105 103 105 104],[-29257 -29259 -29261 -29263 -29264],[-48922 -48922 -48922 -48922 -48922],[-58751 -58753 -58755 -58756 -58758],
Quad,RDCD,0.004094,
Quick,RDCD,0.007037,
Tim,RDCD,0.006778,
Cape - Quad,RDCC,0.003493,[69 71 69 70 69],[-29438 -29440 -29441 -29442 -29443],[-49126 -49126 -49126 -49126 -49126],[-49126 -49126 -49126 -49126 -49126],
Quad,RDCC,0.003432,
Quick,RDCC,0.006732,
Tim,RDCC,0.006432,
Cape - Quad,RDCR,0.005481,[-55 -53 -54 -53 -54],[-29442 -29443 -29445 -29446 -29448],[-49172 -49172 -49172 -49172 -49172],[-49158 -49156 -49157 -49155 -49156],
Quad,RDCR,0.005413,
Quick,RDCR,0.007953,
Tim,RDCR,0.010450,
Cape - Quad,RDRA,0.005775,[-80 -78 -80 -78 -79],[-29541 -29543 -29545 -29547 -29549],[-49118 -49116 -49117 -49115 -49117],[-39322 -39320 -39318 -39317 -39315],
Quad,RDRA,0.005712,
Quick,RDRA,0.008288,
Tim,RDRA,0.010632,
Cape - Quad,RDRD,0.005969,[95 97 96 97 95],[-29290 -29291 -29292 -29293 -29294],[-49059 -49058 -49060 -49058 -49059],[-58874 -58876 -58878 -58880 -58881],
Quad,RDRD,0.005904,
Quick,RDRD,0.008261,
Tim,RDRD,0.010646,
Cape - Quad,RDRC,0.005485,[-13 -12 -13 -11 -12],[-29426 -29427 -29429 -29430 -29432],[-49153 -49152 -49154 -49152 -49154],[-49150 -49150 -49150 -49150 -49150],
Quad,RDRC,0.005425,
Quick,RDRC,0.007968,
Tim,RDRC,0.010517,
Cape - Quad,RDRR,0.007187,[89 90 88 90 88],[-29521 -29523 -29525 -29527 -29529],[-49170 -49169 -49171 -49169 -49170],[-49282 -49280 -49281 -49280 -49281],
Quad,RDRR,0.007115,
Quick,RDRR,0.009144,
Tim,RDRR,0.014357,
Cape - Quad,RCAA,0.003028,[-16 -15 -17 -15 -16],[-3 -3 -3 -3 -3],[19658 19659 19660 19661 19663],[58804 58806 58807 58808 58809],
Quad,RCAA,0.002967,
Quick,RCAA,0.006443,
Tim,RCAA,0.005812,
Cape - Quad,RCAD,0.003969,[15 17 16 17 15],[35 35 35 35 35],[19710 19712 19713 19715 19716],[39311 39309 39308 39307 39306],
Quad,RCAD,0.003907,
Quick,RCAD,0.006978,
Tim,RCAD,0.006258,
Cape - Quad,RCAC,0.003040,[98 100 98 100 98],[95 95 95 95 95],[19763 19765 19767 19769 19771],[49208 49208 49208 49208 49208],
Quad,RCAC,0.002976,
Quick,RCAC,0.006458,
Tim,RCAC,0.005395,
Cape - Quad,RCAR,0.004997,[-15 -14 -15 -13 -15],[-25 -25 -25 -25 -25],[19689 19691 19692 19694 19695],[49200 49202 49201 49202 49201],
Quad,RCAR,0.004936,
Quick,RCAR,0.007644,
Tim,RCAR,0.009717,
Cape - Quad,RCDA,0.004008,[-32 -30 -32 -30 -32],[-60 -60 -60 -60 -60],[-19693 -19695 -19696 -19698 -19700],[-39369 -39368 -39367 -39365 -39364],
Quad,RCDA,0.003951,
Quick,RCDA,0.007073,
Tim,RCDA,0.006735,
Cape - Quad,RCDD,0.004170,[-54 -53 -55 -53 -55],[-67 -67 -67 -67 -67],[-19711 -19712 -19713 -19715 -19717],[-59113 -59115 -59117 -59118 -59119],
Quad,RCDD,0.004110,
Quick,RCDD,0.007065,
Tim,RCDD,0.006145,
Cape - Quad,RCDC,0.003809,[305 307 306 307 306],[324 324 324 324 324],[-19337 -19339 -19341 -19343 -19344],[-48927 -48927 -48927 -48927 -48927],
Quad,RCDC,0.003744,
Quick,RCDC,0.006804,
Tim,RCDC,0.005644,
Cape - Quad,RCDR,0.005428,[12 13 11 12 10],[-11 -11 -11 -11 -11],[-19657 -19659 -19660 -19661 -19663],[-49214 -49212 -49214 -49213 -49215],
Quad,RCDR,0.005363,
Quick,RCDR,0.007898,
Tim,RCDR,0.010544,
Cape - Quad,RCCA,0.003085,[163 165 163 165 164],[172 172 172 172 172],[172 172 172 172 172],[9988 9989 9990 9992 9994],
Quad,RCCA,0.003023,
Quick,RCCA,0.006522,
Tim,RCCA,0.006610,
Cape - Quad,RCCD,0.003887,[16 18 16 18 16],[79 79 79 79 79],[79 79 79 79 79],[-9632 -9634 -9635 -9637 -9638],
Quad,RCCD,0.003828,
Quick,RCCD,0.007026,
Tim,RCCD,0.005581,
Cape - Quad,RCCC,0.003138,[91 92 90 91 89],[54 54 54 54 54],[54 54 54 54 54],[54 54 54 54 54],
Quad,RCCC,0.003076,
Quick,RCCC,0.006601,
Tim,RCCC,0.009127,
Cape - Quad,RCCR,0.005148,[155 157 155 156 155],[189 189 189 189 189],[189 189 189 189 189],[117 119 118 119 118],
Quad,RCCR,0.005087,
Quick,RCCR,0.007829,
Tim,RCCR,0.010852,
Cape - Quad,RCRA,0.005024,[-57 -56 -57 -55 -56],[-84 -84 -84 -84 -84],[-97 -96 -98 -96 -98],[9755 9757 9759 9761 9762],
Quad,RCRA,0.004963,
Quick,RCRA,0.007650,
Tim,RCRA,0.010281,
Cape - Quad,RCRD,0.005600,[118 119 118 120 118],[98 98 98 98 98],[88 90 89 91 89],[-9778 -9780 -9781 -9783 -9784],
Quad,RCRD,0.005538,
Quick,RCRD,0.008110,
Tim,RCRD,0.010386,
Cape - Quad,RCRC,0.005102,[-91 -90 -92 -91 -93],[-98 -98 -98 -98 -98],[-155 -154 -155 -154 -156],[-110 -110 -110 -110 -110],
Quad,RCRC,0.005037,
Quick,RCRC,0.007782,
Tim,RCRC,0.009778,
Cape - Quad,RCRR,0.006808,[55 57 55 57 56],[70 70 70 70 70],[34 35 33 35 33],[-112 -110 -111 -110 -112],
Quad,RCRR,0.006741,
Quick,RCRR,0.008974,
Tim,RCRR,0.013495,
Cape - Quad,RRAA,0.004697,[136 137 136 138 137],[102 103 102 103 102],[19825 19827 19828 19829 19831],[59213 59215 59216 59218 59219],
Quad,RRAA,0.004631,
Quick,RRAA,0.007545,
Tim,RRAA,0.008024,
Cape - Quad,RRAD,0.005643,[44 46 44 45 44],[-26 -25 -26 -25 -26],[19747 19748 19749 19751 19752],[39335 39333 39332 39331 39330],
Quad,RRAD,0.005573,
Quick,RRAD,0.008107,
Tim,RRAD,0.009002,
Cape - Quad,RRAC,0.004723,[99 100 98 100 99],[134 135 133 135 134],[19661 19663 19665 19667 19669],[49277 49277 49277 49277 49277],
Quad,RRAC,0.004656,
Quick,RRAC,0.007573,
Tim,RRAC,0.008105,
Cape - Quad,RRAR,0.006668,[5 7 6 7 5],[-29 -28 -30 -28 -29],[19748 19750 19752 19753 19754],[49266 49268 49266 49268 49266],
Quad,RRAR,0.006599,
Quick,RRAR,0.008770,
Tim,RRAR,0.012185,
Cape - Quad,RRDA,0.005666,[29 30 29 30 28],[-71 -70 -71 -70 -72],[-19783 -19785 -19786 -19788 -19790],[-39483 -39481 -39479 -39478 -39477],
Quad,RRDA,0.005596,
Quick,RRDA,0.008178,
Tim,RRDA,0.010848,
Cape - Quad,RRDD,0.005860,[104 106 104 106 104],[-81 -79 -80 -79 -81],[-19649 -19651 -19653 -19655 -19657],[-59019 -59020 -59021 -59022 -59023],
Quad,RRDD,0.005791,
Quick,RRDD,0.008228,
Tim,RRDD,0.012561,
Cape - Quad,RRDC,0.005530,[-12 -10 -11 -10 -12],[48 50 49 50 49],[-19617 -19618 -19620 -19622 -19623],[-48870 -48870 -48870 -48870 -48870],
Quad,RRDC,0.005468,
Quick,RRDC,0.008013,
Tim,RRDC,0.010660,
Cape - Quad,RRDR,0.007107,[340 342 340 342 340],[307 308 306 308 307],[-19389 -19391 -19392 -19393 -19394],[-48929 -48928 -48930 -48928 -48930],
Quad,RRDR,0.007042,
Quick,RRDR,0.008997,
Tim,RRDR,0.014173,
Cape - Quad,RRCA,0.004768,[24 25 24 25 23],[125 127 125 127 125],[137 137 137 137 137],[10007 10008 10009 10011 10013],
Quad,RRCA,0.004701,
Quick,RRCA,0.007620,
Tim,RRCA,0.009610,
Cape - Quad,RRCD,0.005478,[28 29 27 28 27],[-39 -38 -39 -37 -39],[31 31 31 31 31],[-9892 -9894 -9896 -9898 -9899],
Quad,RRCD,0.005413,
Quick,RRCD,0.008050,
Tim,RRCD,0.010189,
Cape - Quad,RRCC,0.004835,[63 64 62 64 63],[56 57 55 56 54],[164 164 164 164 164],[164 164 164 164 164],
Quad,RRCC,0.004770,
Quick,RRCC,0.007726,
Tim,RRCC,0.010570,
Cape - Quad,RRCR,0.006731,[-35 -33 -34 -33 -35],[-153 -152 -153 -152 -153],[-179 -179 -179 -179 -179],[-175 -173 -175 -173 -175],
Quad,RRCR,0.006660,
Quick,RRCR,0.008817,
Tim,RRCR,0.013042,
Cape - Quad,RRRA,0.006716,[18 20 19 20 18],[43 45 43 44 43],[79 81 80 81 80],[9923 9924 9926 9928 9929],
Quad,RRRA,0.006653,
Quick,RRRA,0.008767,
Tim,RRRA,0.012165,
Cape - Quad,RRRD,0.007219,[126 127 126 128 126],[152 153 152 153 151],[246 247 246 248 247],[-9649 -9650 -9652 -9653 -9655],
Quad,RRRD,0.007153,
Quick,RRRD,0.009135,
Tim,RRRD,0.014242,
Cape - Quad,RRRC,0.006782,[80 82 80 82 81],[141 143 141 143 141],[187 188 187 189 187],[189 189 189 189 189],
Quad,RRRC,0.006712,
Quick,RRRC,0.008882,
Tim,RRRC,0.013262,
Cape - Quad,RRRR,0.008432,[117 118 116 117 115],[80 82 80 81 79],[13 15 14 15 14],[138 139 138 140 139],
Quad,RRRR,0.008366,
Quick,RRRR,0.009994,
Tim,RRRR,0.016295,
Cape,Total,0.891565,
Quad,Total,0.918956,
Quick,Total,1.768163,
Tim,Total,1.381405,
