Sorts,Sequence,Time,
Cape - Quad,ARCR,0.005052,[39385 39387 39388 39390 39392],[49398 49400 49399 49400 49398],[49434 49434 49434 49434 49434],[49409 49410 49408 49410 49409],
Quad,ARCR,0.004998,
Quick,ARCR,0.007677,
Tim,ARCR,0.008544,
Cape - Quad,ARRA,0.004925,[39354 39355 39357 39358 39359],[49193 49194 49193 49194 49192],[49229 49230 49229 49230 49229],[59183 59184 59185 59187 59188],
Quad,ARRA,0.004867,
Quick,ARRA,0.007470,
Tim,ARRA,0.008310,
Cape - Quad,ARRD,0.005672,[39409 39411 39412 39413 39415],[49327 49328 49327 49329 49328],[49416 49418 49417 49418 49417],[39406 39405 39403 39402 39400],
Quad,ARRD,0.005619,
Quick,ARRD,0.008173,
Tim,ARRD,0.009146,
Cape - Quad,ARRC,0.005171,[39343 39344 39346 39348 39349],[49109 49111 49110 49111 49109],[49105 49106 49105 49107 49105],[49188 49188 49188 49188 49188],
Quad,ARRC,0.005118,
Quick,ARRC,0.007896,
Tim,ARRC,0.008624,
Cape - Quad,ARRR,0.006735,[39230 39231 39232 39234 39235],[49101 49103 49102 49104 49102],[49054 49055 49054 49055 49053],[49134 49135 49133 49134 49132],
Quad,ARRR,0.006676,
Quick,ARRR,0.008844,
Tim,ARRR,0.012400,
Cape - Tim,DAAA,0.000972,[-39387 -39389 -39390 -39391 -39392],[-19656 -19655 -19653 -19651 -19649],[19511 19513 19514 19516 19518],[58767 58768 58769 58770 58772],
Quad,DAAA,0.001814,
Quick,DAAA,0.005760,
Tim,DAAA,0.000956,
Cape - Tim,DAAD,0.001638,[-39229 -39230 -39231 -39232 -39234],[-19648 -19647 -19646 -19645 -19644],[19750 19751 19752 19754 19756],[39382 39380 39379 39377 39375],
Quad,DAAD,0.002362,
Quick,DAAD,0.006310,
Tim,DAAD,0.001621,
Cape - Tim,DAAC,0.000970,[-39159 -39160 -39161 -39162 -39164],[-19495 -19494 -19493 -19492 -19491],[19882 19884 19886 19887 19889],[49401 49401 49401 49401 49401],
Quad,DAAC,0.001425,
Quick,DAAC,0.005757,
Tim,DAAC,0.000954,
Cape - Quad,DAAR,0.003467,[-39234 -39236 -39238 -39240 -39241],[-19514 -19513 -19512 -19510 -19508],[19825 19826 19828 19829 19830],[49197 49199 49198 49199 49197],
Quad,DAAR,0.003419,
Quick,DAAR,0.006898,
Tim,DAAR,0.004760,
Cape - Tim,DADA,0.002700,[-39316 -39318 -39319 -39321 -39322],[-19583 -19582 -19580 -19579 -19578],[-19526 -19527 -19529 -19531 -19533],[-39355 -39353 -39351 -39350 -39348],
Quad,DADA,0.003361,
Quick,DADA,0.007061,
Tim,DADA,0.002683,
Cape - Tim,DADD,0.002796,[-39342 -39343 -39345 -39346 -39348],[-19541 -19540 -19539 -19537 -19536],[-19613 -19614 -19615 -19617 -19619],[-58910 -58911 -58913 -58915 -58917],
Quad,DADD,0.003341,
Quick,DADD,0.006856,
Tim,DADD,0.002781,
Cape - Tim,DADC,0.002375,[-39435 -39437 -39438 -39440 -39442],[-19856 -19854 -19853 -19852 -19851],[-19850 -19852 -19854 -19856 -19858],[-49350 -49350 -49350 -49350 -49350],
Quad,DADC,0.002955,
Quick,DADC,0.006581,
Tim,DADC,0.002359,
Cape - Quad,DADR,0.004788,[-39395 -39396 -39397 -39398 -39400],[-19719 -19717 -19715 -19714 -19712],[-19697 -19698 -19700 -19702 -19703],[-49212 -49211 -49213 -49211 -49213],
Quad,DADR,0.004737,
Quick,DADR,0.007719,
Tim,DADR,0.006174,
Cape - Tim,DACA,0.000969,[-39262 -39263 -39265 -39267 -39268],[-19561 -19560 -19559 -19558 -19556],[175 175 175 175 175],[10025 10027 10029 10030 10032],
Quad,DACA,0.001425,
Quick,DACA,0.005758,
Tim,DACA,0.000954,
Cape - Tim,DACD,0.002215,[-39321 -39323 -39325 -39327 -39329],[-19620 -19619 -19618 -19616 -19615],[-1 -1 -1 -1 -1],[-9787 -9789 -9790 -9791 -9792],
Quad,DACD,0.002883,
Quick,DACD,0.006584,
Tim,DACD,0.002203,
Cape - Tim,DACC,0.000969,[-39391 -39392 -39394 -39395 -39396],[-19625 -19624 -19622 -19621 -19620],[117 117 117 117 117],[117 117 117 117 117],
Quad,DACC,0.001425,
Quick,DACC,0.005755,
Tim,DACC,0.000952,
Cape - Quad,DACR,0.004077,[-39268 -39270 -39271 -39272 -39273],[-19528 -19527 -19526 -19524 -19523],[66 66 66 66 66],[96 98 96 98 96],
Quad,DACR,0.004025,
Quick,DACR,0.007196,
Tim,DACR,0.005161,
Cape - Quad,DARA,0.003958,[-39326 -39328 -39329 -39330 -39332],[-19723 -19721 -19720 -19718 -19716],[75 76 74 75 74],[9908 9910 9912 9914 9916],
Quad,DARA,0.003903,
Quick,DARA,0.006947,
Tim,DARA,0.005168,
Cape - Quad,DARD,0.004730,[-39219 -39221 -39222 -39224 -39226],[-19529 -19528 -19526 -19525 -19524],[272 274 273 274 273],[-9547 -9549 -9550 -9551 -9552],
Quad,DARD,0.004681,
Quick,DARD,0.007621,
Tim,DARD,0.006031,
Cape - Quad,DARC,0.003999,[-39426 -39427 -39429 -39431 -39433],[-19728 -19727 -19725 -19723 -19722],[83 84 82 84 82],[147 147 147 147 147],
Quad,DARC,0.003947,
Quick,DARC,0.007038,
Tim,DARC,0.005105,
Cape - Quad,DARR,0.005605,[-39337 -39339 -39340 -39341 -39343],[-19571 -19570 -19568 -19567 -19566],[9 10 8 10 8],[175 176 175 176 174],
Quad,DARR,0.005555,
Quick,DARR,0.008052,
Tim,DARR,0.008644,
Cape - Tim,DDAA,0.001459,[-39246 -39248 -39249 -39251 -39252],[-78483 -78485 -78487 -78488 -78490],[-78395 -78393 -78392 -78391 -78389],[-39134 -39133 -39132 -39130 -39128],
Quad,DDAA,0.002421,
Quick,DDAA,0.006322,
Tim,DDAA,0.001438,
Cape - Tim,DDAD,0.002110,[-39149 -39150 -39151 -39152 -39153],[-78523 -78525 -78526 -78528 -78530],[-78555 -78554 -78552 -78550 -78549],[-58805 -58806 -58808 -58810 -58812],
Quad,DDAD,0.003271,
Quick,DDAD,0.006765,
Tim,DDAD,0.002091,
Cape - Tim,DDAC,0.001323,[-39356 -39357 -39358 -39359 -39360],[-78668 -78669 -78671 -78673 -78674],[-78657 -78655 -78653 -78652 -78651],[-49078 -49078 -49078 -49078 -49078],
Quad,DDAC,0.002217,
Quick,DDAC,0.006080,
Tim,DDAC,0.001306,
Cape - Quad,DDAR,0.004309,[-39331 -39333 -39335 -39337 -39339],[-78696 -78698 -78699 -78701 -78703],[-78739 -78737 -78735 -78734 -78732],[-49265 -49263 -49264 -49263 -49264],
Quad,DDAR,0.004253,
Quick,DDAR,0.007201,
Tim,DDAR,0.005076,
Cape - Tim,DDDA,0.001385,[-39398 -39399 -39401 -39403 -39404],[-78930 -78932 -78933 -78934 -78936],[-118339 -118340 -118342 -118344 -118345],[-138070 -138068 -138067 -138065 -138064],
Quad,DDDA,0.002933,
Quick,DDDA,0.006377,
Tim,DDDA,0.001370,
Cape - Tim,DDDD,0.001309,[-39255 -39257 -39258 -39259 -39261],[-78465 -78467 -78469 -78470 -78471],[-117743 -117745 -117746 -117747 -117748],[-156921 -156923 -156925 -156926 -156928],
Quad,DDDD,0.002950,
Quick,DDDD,0.006398,
Tim,DDDD,0.001291,
Cape - Tim,DDDC,0.001250,[-39105 -39106 -39107 -39109 -39110],[-78410 -78412 -78413 -78414 -78416],[-117828 -117829 -117830 -117831 -117833],[-147255 -147255 -147255 -147255 -147255],
Quad,DDDC,0.002566,
Quick,DDDC,0.006129,
Tim,DDDC,0.001235,
